Date,Open,High,Low,Close,Adj Close,Volume
2011-10-12,,,,,,
2011-10-13,,,,,,
2011-10-14,,,,,,
2011-10-17,,,,,,
2011-10-18,,,,,,
2011-10-19,,,,,,
2011-10-20,,,,,,
2011-10-21,,,,,,
2011-10-24,,,,,,
2011-10-25,,,,,,
2011-10-26,,,,,,
2011-10-27,295.0,295.0,295.0,295.0,294.578583,4.0
2011-10-28,,,,,,
2011-10-31,273.5,273.5,273.5,273.5,273.109283,7.0
2011-11-01,,,,,,
2011-11-02,,,,,,
2011-11-03,,,,,,
2011-11-04,,,,,,
2011-11-07,,,,,,
2011-11-08,,,,,,
2011-11-09,,,,,,
2011-11-10,,,,,,
2011-11-11,,,,,,
2011-11-14,,,,,,
2011-11-15,,,,,,
2011-11-16,,,,,,
2011-11-17,273.5,273.5,273.5,273.5,273.109283,0.0
2011-11-18,273.5,273.5,273.5,273.5,273.109283,0.0
2011-11-21,273.5,273.5,273.5,273.5,273.109283,0.0
2011-11-22,273.5,273.5,273.5,273.5,273.109283,0.0
2011-11-23,273.5,273.5,273.5,273.5,273.109283,0.0
2011-11-24,273.5,273.5,273.5,273.5,273.109283,0.0
2011-11-25,273.5,273.5,273.5,273.5,273.109283,0.0
2011-11-28,273.5,273.5,273.5,273.5,273.109283,0.0
2011-11-29,273.5,273.5,273.5,273.5,273.109283,0.0
2011-11-30,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-01,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-02,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-05,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-06,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-07,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-08,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-09,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-12,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-13,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-14,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-15,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-16,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-19,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-20,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-21,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-22,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-23,273.5,273.5,273.5,273.5,273.109283,0.0
2011-12-27,273.5,273.5,250.0,250.0,249.64286800000002,90.0
2011-12-28,281.0,281.0,281.0,281.0,280.59857200000005,83.0
2011-12-29,336.0,336.0,336.0,336.0,335.52002000000005,130.0
2011-12-30,403.0,403.0,403.0,403.0,402.424286,85.0
2012-01-02,403.0,403.0,403.0,403.0,402.424286,0.0
2012-01-03,403.0,403.0,403.0,403.0,402.424286,0.0
2012-01-04,403.0,403.0,403.0,403.0,402.424286,0.0
2012-01-05,403.0,403.0,403.0,403.0,402.424286,0.0
2012-01-06,403.0,403.0,403.0,403.0,402.424286,0.0
2012-01-09,403.0,403.0,403.0,403.0,402.424286,0.0
2012-01-10,403.0,403.0,403.0,403.0,402.424286,0.0
2012-01-11,325.0,325.0,325.0,325.0,324.535736,60.0
2012-01-12,345.0,345.0,345.0,345.0,344.507141,4.0
2012-01-13,345.0,345.0,345.0,345.0,344.507141,4.0
2012-01-16,345.0,345.0,345.0,345.0,344.507141,0.0
