,Mean Volume,Momentum,Outlier
CARP,0.0,0.0717372515125323,True
BIM,397019.5,0.07218799901280226,False
DIREN,50709.916666666664,0.0722433460076044,True
VRAP,1855.4166666666667,0.07288365776369443,False
SK,63535.75,0.07364864864864873,False
FNTS,37.333333333333336,0.07660455486542461,True
HOP,1378.0,0.07711757269279373,True
DGE,561.4166666666666,0.08077786088257266,False
BCAM,67.83333333333333,0.08108108108108114,True
IMDA,637.25,0.08361970217640269,True
SACI,0.9166666666666666,0.08403055656602376,True
ADV,6928.0,0.08423913043478248,True
STAL,23.166666666666668,0.0843989769820972,True
LR,678095.1666666666,0.08531044926804676,False
RUSAL,84.08333333333333,0.08577633007600416,True
OR,616257.1666666666,0.08750341810226958,False
ALTUR,5776.5,0.08778625954198493,False
HO,297646.9166666667,0.08785743887277242,True
FPG,44216.166666666664,0.08860759493670844,True
TOU,459.9166666666667,0.08860759493670911,True
CRI,78190.41666666667,0.09122653862941976,False
GPE,932.75,0.09353187529083296,True
IML,5453.916666666667,0.09375,True
CAT31,382.6666666666667,0.09415262636273591,False
GREV,3.5,0.09438170918722988,True
EN,922140.5833333334,0.09470138618992063,False
CROS,6.916666666666667,0.09615384615384648,True
LNA,16612.166666666668,0.09718512430655424,False
HSB,25986.75,0.09999999999999964,False
LTAN,26817.666666666668,0.10000000000000009,True
FPN,211710.5,0.10000000000000031,True
IAM,854.25,0.10062893081760982,False
BOL,1955569.5833333333,0.1025435073627845,False
ROTH,31836.666666666668,0.10350877192982466,False
PAR,171.33333333333334,0.10565110565110536,True
CNP,430357.4166666667,0.10798122065727678,False
FP,6320834.333333333,0.10939156243375026,False
POM,178310.66666666666,0.10944026733500456,False
AKE,274044.9166666667,0.11614031478242981,False
UFF,1368.75,0.11678832116788329,False
TFF,1576.8333333333333,0.11686494051784457,False
AC,1052081.1666666667,0.12008603178396449,False
CMO,346.1666666666667,0.12130177514792884,True
TER,3804.9166666666665,0.12201591511936338,False
ENGI,6884247.333333333,0.12355212355212375,False
CNF,4831.5,0.12556278139069565,False
GFC,123650.5,0.1263584345500255,False
VIE,1910203.0833333333,0.12700688073394484,False
SABE,147.08333333333334,0.12728980742132534,True
FDR,132014.5,0.13070539419087135,True
CRSU,170.0,0.13151305591987605,False
ORP,96968.0,0.13427901023890731,False
OLG,27724.916666666668,0.13432835820895517,False
CHAU,21.333333333333332,0.13541666666666652,True
ALTA,3794.0833333333335,0.13961652714015682,False
EOSI,31445.666666666668,0.14130434782608714,False
MKEA,392720.5,0.14609053497942415,True
MAN,1746.25,0.14942528735632177,True
FFP,7954.083333333333,0.1507982083381192,False
RCF,426984.6666666667,0.15214564369310835,False
BUR,78.41666666666667,0.15217391304347827,False
