Date,Close,High,Low,Open,Volume
2015-02-18,0.55,0.55,0.55,0.55,0
2015-02-19,0.55,0.55,0.55,0.55,0
2015-02-20,0.55,0.55,0.55,0.55,0
2015-02-23,0.55,0.55,0.55,0.55,0
2015-02-24,0.55,0.55,0.55,0.55,0
2015-02-25,0.55,0.55,0.55,0.55,0
2015-02-26,0.55,0.55,0.55,0.55,0
2015-02-27,0.55,0.55,0.55,0.55,0
2015-03-02,0.55,0.55,0.55,0.55,0
2015-03-03,0.55,0.55,0.55,0.55,0
2015-03-04,0.55,0.55,0.55,0.55,0
2015-03-05,0.55,0.55,0.55,0.55,0
2015-03-06,0.55,0.55,0.55,0.55,0
2015-03-09,0.55,0.55,0.55,0.55,0
2015-03-10,0.55,0.55,0.55,0.55,0
2015-03-11,0.55,0.55,0.55,0.55,0
2015-03-12,0.55,0.55,0.55,0.55,0
2015-03-13,0.55,0.55,0.55,0.55,0
2015-03-16,0.55,0.55,0.55,0.55,0
2015-03-17,0.55,0.55,0.55,0.55,0
2015-03-18,0.55,0.55,0.55,0.55,0
2015-03-19,0.55,0.55,0.55,0.55,0
2015-03-20,0.55,0.55,0.55,0.55,0
2015-03-23,0.55,0.55,0.55,0.55,0
2015-03-24,0.55,0.55,0.55,0.55,0
2015-03-25,0.55,0.55,0.55,0.55,0
2015-03-26,0.55,0.55,0.55,0.55,0
2015-03-27,0.55,0.55,0.55,0.55,0
2015-03-30,0.55,0.55,0.55,0.55,0
2015-03-31,0.55,0.55,0.55,0.55,0
2015-04-01,0.55,0.55,0.55,0.55,0
2015-04-02,0.55,0.55,0.55,0.55,0
2015-04-03,0.55,0.55,0.55,0.55,0
2015-04-06,0.55,0.55,0.55,0.55,0
2015-04-07,0.55,0.55,0.55,0.55,0
2015-04-08,0.55,0.55,0.55,0.55,0
2015-04-09,0.55,0.55,0.55,0.55,0
2015-04-10,0.55,0.55,0.55,0.55,0
2015-04-13,0.55,0.55,0.55,0.55,0
2015-04-14,0.55,0.55,0.55,0.55,0
2015-04-15,0.55,0.55,0.55,0.55,0
2015-04-16,0.55,0.55,0.55,0.55,0
2015-04-17,0.55,0.55,0.55,0.55,0
2015-04-20,0.55,0.55,0.55,0.55,0
2015-04-21,0.55,0.55,0.55,0.55,0
2015-04-22,0.55,0.55,0.55,0.55,0
2015-04-23,0.55,0.55,0.55,0.55,0
2015-04-24,0.55,0.55,0.55,0.55,0
2015-04-27,0.55,0.55,0.55,0.55,0
2015-04-28,0.55,0.55,0.55,0.55,0
2015-04-29,0.55,0.55,0.55,0.55,0
2015-04-30,0.55,0.55,0.55,0.55,0
2015-05-01,0.55,0.55,0.55,0.55,0
