Date,Symbol,Close,High,Low,Open,Volume
2016-11-08,XBRU:NYR,5.67,5.693,5.523,5.65,360878
2016-11-09,XBRU:NYR,5.94,5.98,5.4510000000000005,5.48,517413
2016-11-10,XBRU:NYR,6.237,6.24,6.02,6.02,993039
2016-11-11,XBRU:NYR,5.96,6.25,5.881,6.25,428345
2016-11-14,XBRU:NYR,6.13,6.22,5.955,5.959,497853
2016-11-15,XBRU:NYR,6.0779999999999985,6.15,6.0139999999999985,6.15,294024
2016-11-16,XBRU:NYR,6.0310000000000015,6.16,5.9,6.107,382716
2016-11-17,XBRU:NYR,6.05,6.14,5.981,6.067,249604
2016-11-18,XBRU:NYR,6.09,6.099,5.9529999999999985,6.049,184631
2016-11-21,XBRU:NYR,6.125,6.147,5.9860000000000015,6.147,185500
2016-11-22,XBRU:NYR,6.239,6.28,6.102,6.14,389794
2016-11-23,XBRU:NYR,6.107,6.26,6.05,6.25,369914
2016-11-24,XBRU:NYR,6.586,6.634,6.108,6.15,501923
2016-11-25,XBRU:NYR,6.539,6.735,6.462999999999999,6.67,402902
2016-11-28,XBRU:NYR,6.452000000000001,6.699,6.432,6.64,374816
2016-11-29,XBRU:NYR,6.34,6.5120000000000005,6.26,6.452000000000001,465586
2016-11-30,XBRU:NYR,6.566,6.831,6.456,6.65,782793
2016-12-01,XBRU:NYR,7.02,7.028,6.612,6.711,710949
2016-12-02,XBRU:NYR,6.94,7.165,6.872999999999998,7.077000000000001,463212
2016-12-05,XBRU:NYR,7.124,7.167000000000002,6.99,6.99,357506
2016-12-06,XBRU:NYR,7.24,7.275,7.166,7.19,658631
2016-12-07,XBRU:NYR,7.356,7.38,7.25,7.28,853703
2016-12-08,XBRU:NYR,7.44,7.451,7.35,7.39,386118
2016-12-09,XBRU:NYR,7.39,7.496,7.322999999999999,7.489,244818
2016-12-12,XBRU:NYR,7.482,7.57,7.412000000000001,7.463999999999999,312775
2016-12-13,XBRU:NYR,7.138,7.5,7.065,7.5,291408
2016-12-14,XBRU:NYR,7.326,7.37,7.05,7.065,280930
2016-12-15,XBRU:NYR,7.35,7.444,7.284,7.3370000000000015,170128
2016-12-16,XBRU:NYR,7.2810000000000015,7.443,7.215,7.385,275994
2016-12-19,XBRU:NYR,7.167999999999998,7.365,7.151,7.365,184443
2016-12-20,XBRU:NYR,7.371,7.449,7.1610000000000005,7.202000000000001,259091
2016-12-21,XBRU:NYR,7.654,7.69,7.425,7.425,297409
2016-12-22,XBRU:NYR,7.751,7.838999999999999,7.622000000000001,7.622000000000001,327829
2016-12-23,XBRU:NYR,7.468,7.778,7.409,7.777,195600
2016-12-26,XBRU:NYR,7.468,7.468,7.468,7.468,0
2016-12-27,XBRU:NYR,7.643,7.693,7.467,7.47,94254
2016-12-28,XBRU:NYR,7.919,7.92,7.657999999999999,7.67,317341
2016-12-29,XBRU:NYR,7.726,7.917999999999998,7.641,7.917999999999998,156387
2016-12-30,XBRU:NYR,7.795,7.876,7.64,7.75,112365
2017-01-02,XBRU:NYR,7.798999999999999,7.8,7.67,7.67,196254
2017-01-03,XBRU:NYR,7.9,7.939,7.729,7.8,304986
2017-01-04,XBRU:NYR,7.768,7.92,7.709,7.92,206240
2017-01-05,XBRU:NYR,7.803,7.86,7.702000000000001,7.816,233957
2017-01-06,XBRU:NYR,7.775,7.88,7.64,7.872999999999998,195623
2017-01-09,XBRU:NYR,7.485,7.85,7.41,7.8,511603
2017-01-10,XBRU:NYR,7.684,7.72,7.414,7.45,537635
2017-01-11,XBRU:NYR,7.532,7.757999999999999,7.47,7.75,298422
2017-01-12,XBRU:NYR,7.388,7.606,7.366,7.56,262027
2017-01-13,XBRU:NYR,7.349,7.438,7.292999999999998,7.438,229413
2017-01-16,XBRU:NYR,7.287000000000001,7.44,7.21,7.44,227778
2017-01-17,XBRU:NYR,7.247999999999998,7.349,7.153,7.24,232149
2017-01-18,XBRU:NYR,7.292999999999998,7.349,7.199,7.332000000000002,152714
2017-01-19,XBRU:NYR,7.25,7.331,7.15,7.331,147769
2017-01-20,XBRU:NYR,7.252000000000002,7.298999999999999,7.1720000000000015,7.2360000000000015,132949
2017-01-23,XBRU:NYR,7.296,7.42,7.189,7.316,126999
2017-01-24,XBRU:NYR,7.609,7.64,7.307,7.307,222880
2017-01-25,XBRU:NYR,7.72,7.79,7.647,7.775,303552
2017-01-26,XBRU:NYR,7.485,7.775,7.434,7.775,188782
2017-01-27,XBRU:NYR,7.528,7.55,7.364,7.501,155285
2017-01-30,XBRU:NYR,7.377999999999999,7.677,7.36,7.676,158017
2017-01-31,XBRU:NYR,7.824,8.072000000000001,7.58,7.587999999999999,1012086
2017-02-01,XBRU:NYR,7.89,8.08,7.782,7.93,713673
2017-02-02,XBRU:NYR,7.85,8.089,7.752000000000002,7.9,513479
2017-02-03,XBRU:NYR,7.724,7.89,7.686,7.89,314284
2017-02-06,XBRU:NYR,7.452000000000001,7.8439999999999985,7.42,7.75,430435
2017-02-07,XBRU:NYR,7.2,7.49,7.01,7.4220000000000015,894844
2017-02-08,XBRU:NYR,7.08,7.3370000000000015,7.05,7.24,346928
2017-02-09,XBRU:NYR,6.7,6.917000000000002,6.55,6.91,1121327
2017-02-10,XBRU:NYR,7.0070000000000014,7.046,6.69,6.707999999999998,486556
2017-02-13,XBRU:NYR,7.0,7.17,7.0,7.089,348054
2017-02-14,XBRU:NYR,6.97,7.047999999999999,6.87,7.0,420025
2017-02-15,XBRU:NYR,6.809,6.988,6.7,6.988,361406
2017-02-16,XBRU:NYR,6.648,6.85,6.636,6.809,439922
2017-02-17,XBRU:NYR,6.568,6.685,6.5,6.685,379214
