Date,Close,High,Low,Open,Volume
2009-07-28,290.0,290.0,290.0,290.0,0
2009-07-29,290.0,290.0,290.0,290.0,0
2009-07-30,290.0,290.0,290.0,290.0,0
2009-07-31,290.0,290.0,290.0,290.0,0
2009-08-03,290.0,290.0,290.0,290.0,0
2009-08-04,290.0,290.0,290.0,290.0,0
2009-08-05,290.0,290.0,290.0,290.0,0
2009-08-06,290.0,290.0,290.0,290.0,0
2009-08-07,290.0,290.0,290.0,290.0,0
2009-08-10,290.0,290.0,290.0,290.0,0
2009-08-11,290.0,290.0,290.0,290.0,0
2009-08-12,290.0,290.0,290.0,290.0,0
2009-08-13,290.0,290.0,290.0,290.0,0
2009-08-14,290.0,290.0,290.0,290.0,0
2009-08-17,290.0,290.0,290.0,290.0,0
2009-08-18,290.0,290.0,290.0,290.0,0
2009-08-19,290.0,290.0,290.0,290.0,0
2009-08-20,290.0,290.0,290.0,290.0,0
2009-08-21,290.0,290.0,290.0,290.0,0
2009-08-24,290.0,290.0,290.0,290.0,0
2009-08-25,290.0,290.0,290.0,290.0,0
2009-08-26,290.0,290.0,290.0,290.0,0
2009-08-27,290.0,290.0,290.0,290.0,0
2009-08-28,290.0,290.0,290.0,290.0,0
2009-08-31,290.0,290.0,290.0,290.0,0
2009-09-01,290.0,290.0,290.0,290.0,0
2009-09-02,290.0,290.0,290.0,290.0,0
2009-09-03,290.0,290.0,290.0,290.0,0
2009-09-04,290.0,290.0,290.0,290.0,0
2009-09-07,290.0,290.0,290.0,290.0,0
2009-09-08,290.0,290.0,290.0,290.0,0
2009-09-09,290.0,290.0,290.0,290.0,0
2009-09-10,290.0,290.0,290.0,290.0,0
2009-09-11,290.0,290.0,290.0,290.0,0
2009-09-14,290.0,290.0,290.0,290.0,0
2009-09-15,290.0,290.0,290.0,290.0,0
2009-09-16,290.0,290.0,290.0,290.0,0
2009-09-17,290.0,290.0,290.0,290.0,0
2009-09-18,290.0,290.0,290.0,290.0,0
2009-09-21,290.0,290.0,290.0,290.0,0
2009-09-22,290.0,290.0,290.0,290.0,0
2009-09-23,290.0,290.0,290.0,290.0,0
2009-09-24,290.0,290.0,290.0,290.0,0
2009-09-25,290.0,290.0,290.0,290.0,0
2009-09-28,290.0,290.0,290.0,290.0,0
2009-09-29,290.0,290.0,290.0,290.0,0
2009-09-30,290.0,290.0,290.0,290.0,0
2009-10-01,290.0,290.0,290.0,290.0,0
2009-10-02,290.0,290.0,290.0,290.0,0
2009-10-05,290.0,290.0,290.0,290.0,0
2009-10-06,290.0,290.0,290.0,290.0,0
2009-10-07,290.0,290.0,290.0,290.0,0
2009-10-08,290.0,290.0,290.0,290.0,0
2009-10-09,290.0,290.0,290.0,290.0,0
2009-10-12,290.0,290.0,290.0,290.0,0
2009-10-13,290.0,290.0,290.0,290.0,0
2009-10-14,290.0,290.0,290.0,290.0,0
2009-10-15,290.0,290.0,290.0,290.0,0
2009-10-16,290.0,290.0,290.0,290.0,0
2009-10-19,290.0,290.0,290.0,290.0,0
2009-10-20,290.0,290.0,290.0,290.0,0
2009-10-21,290.0,290.0,290.0,290.0,0
2009-10-22,290.0,290.0,290.0,290.0,0
2009-10-23,290.0,290.0,290.0,290.0,0
2009-10-26,290.0,290.0,290.0,290.0,0
2009-10-27,290.0,290.0,290.0,290.0,0
2009-10-28,290.0,290.0,290.0,290.0,0
2009-10-29,290.0,290.0,290.0,290.0,0
2009-10-30,290.0,290.0,290.0,290.0,0
2009-11-02,290.0,290.0,290.0,290.0,0
2009-11-03,290.0,290.0,290.0,290.0,0
2009-11-04,290.0,290.0,290.0,290.0,0
2009-11-05,290.0,290.0,290.0,290.0,0
2009-11-06,290.0,290.0,290.0,290.0,0
2009-11-09,290.0,290.0,290.0,290.0,0
2009-11-10,290.0,290.0,290.0,290.0,0
2009-11-11,290.0,290.0,290.0,290.0,0
2009-11-12,290.0,290.0,290.0,290.0,0
2009-11-13,290.0,290.0,290.0,290.0,0
2009-11-16,290.0,290.0,290.0,290.0,0
2009-11-17,290.0,290.0,290.0,290.0,0
2009-11-18,290.0,290.0,290.0,290.0,0
2009-11-19,290.0,290.0,290.0,290.0,0
2009-11-20,290.0,290.0,290.0,290.0,0
2009-11-23,290.0,290.0,290.0,290.0,0
2009-11-24,290.0,290.0,290.0,290.0,0
2009-11-25,290.0,290.0,290.0,290.0,0
2009-11-26,290.0,290.0,290.0,290.0,0
2009-11-27,290.0,290.0,290.0,290.0,0
2009-11-30,290.0,290.0,290.0,290.0,0
2009-12-01,290.0,290.0,290.0,290.0,0
2009-12-02,290.0,290.0,290.0,290.0,0
2009-12-03,290.0,290.0,290.0,290.0,0
2009-12-04,290.0,290.0,290.0,290.0,0
2009-12-07,290.0,290.0,290.0,290.0,0
2009-12-08,290.0,290.0,290.0,290.0,0
2009-12-09,290.0,290.0,290.0,290.0,0
2009-12-10,290.0,290.0,290.0,290.0,1671
2009-12-11,290.0,290.0,290.0,290.0,0
2009-12-14,290.0,290.0,290.0,290.0,0
2009-12-15,290.0,290.0,290.0,290.0,0
2009-12-16,290.0,290.0,290.0,290.0,0
2009-12-17,319.0,319.0,319.0,319.0,215
2009-12-18,319.0,319.0,319.0,319.0,0
2009-12-21,319.0,319.0,319.0,319.0,0
2009-12-22,319.0,319.0,319.0,319.0,0
2009-12-23,319.0,319.0,319.0,319.0,0
2009-12-24,319.0,319.0,319.0,319.0,0
2009-12-25,319.0,319.0,319.0,319.0,0
2009-12-28,319.0,319.0,319.0,319.0,0
2009-12-29,319.0,319.0,319.0,319.0,0
2009-12-30,319.0,319.0,319.0,319.0,0
2009-12-31,319.0,319.0,319.0,319.0,0
2010-01-01,319.0,319.0,319.0,319.0,0
2010-01-04,319.0,319.0,319.0,319.0,0
2010-01-05,319.0,319.0,319.0,319.0,0
2010-01-06,319.0,319.0,319.0,319.0,0
2010-01-07,319.0,319.0,319.0,319.0,0
2010-01-08,319.0,319.0,319.0,319.0,0
2010-01-11,319.0,319.0,319.0,319.0,0
2010-01-12,319.0,319.0,319.0,319.0,0
2010-01-13,319.0,319.0,319.0,319.0,0
2010-01-14,319.0,319.0,319.0,319.0,0
2010-01-15,319.0,319.0,319.0,319.0,0
2010-01-18,319.0,319.0,319.0,319.0,0
2010-01-19,319.0,319.0,319.0,319.0,0
2010-01-20,319.0,319.0,319.0,319.0,0
2010-01-21,319.0,319.0,319.0,319.0,0
2010-01-22,319.0,319.0,319.0,319.0,0
2010-01-25,319.0,319.0,319.0,319.0,0
2010-01-26,319.0,319.0,319.0,319.0,0
2010-01-27,319.0,319.0,319.0,319.0,0
2010-01-28,319.0,319.0,319.0,319.0,0
2010-01-29,319.0,319.0,319.0,319.0,0
2010-02-01,319.0,319.0,319.0,319.0,0
2010-02-02,319.0,319.0,319.0,319.0,0
2010-02-03,290.0,290.0,290.0,290.0,25
2010-02-04,290.0,290.0,290.0,290.0,0
2010-02-05,290.0,290.0,290.0,290.0,0
2010-02-08,290.0,290.0,290.0,290.0,0
2010-02-09,290.0,290.0,290.0,290.0,0
2010-02-10,290.0,290.0,290.0,290.0,0
2010-02-11,290.0,290.0,290.0,290.0,0
2010-02-12,290.0,290.0,290.0,290.0,0
2010-02-15,290.0,290.0,290.0,290.0,0
