  "Naam";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"Hoog";"Laag";"Laatst";"Last Date/Time";"Time Zone";"Aantal";"Turnover"
"SIPEF";"BE0003898187";"SIP";"Euronext Brussels";"EUR";"61.20";"61.69";"61.00";"61.44";"22/12/2017 17:35";"CET";"7173";"439263.64"
"SMARTPHOTO GROUP";"BE0974323553";"SMAR";"Euronext Brussels";"EUR";"15.255";"15.70";"15.255";"15.70";"22/12/2017 17:35";"CET";"442";"6852.82"
"SOFINA";"BE0003717312";"SOF";"Euronext Brussels";"EUR";"131.35";"132.10";"131.25";"131.90";"22/12/2017 17:35";"CET";"18581";"2447279.30"
"SOFTIMAT";"BE0003773877";"SOFT";"Euronext Growth Brussels";"EUR";"2.24";"2.30";"2.24";"2.30";"22/12/2017 16:30";"CET";"1570";"3596.00"
"SOLVAC NOM(RETAIL)";"BE0003545531";"SOLV";"Euronext Brussels";"EUR";"129.95";"129.95";"129.95";"129.95";"22/12/2017 17:35";"CET";"1019";"132419.05"
"SOLVAY";"BE0003470755";"SOLB";"Euronext Brussels, Paris";"EUR";"115.65";"116.40";"115.25";"115.90";"22/12/2017 17:35";"CET";"207737";"24081451.55"
"SPADEL";"BE0003798155";"SPA";"Euronext Brussels";"EUR";"175.31";"175.31";"175.31";"175.31";"22/12/2017 11:30";"CET";"10";"1753.10"
"ST.GUDULE-PL. CERT";"BE0003620318";"SAIG";"Euronext Brussels";"EUR";"1.52";"1.52";"1.52";"1.52";"22/12/2017 11:30";"CET";"50";"76.00"
"SUCRAF A & B";"BE0003463685";"SUCR";"Euronext Brussels";"EUR";"1.90";"1.90";"1.90";"1.90";"29/11/2017 11:30";"CET";"392";"744.80"
"SUEZ";"FR0010613471";"SEV";"Euronext Paris, Brussels";"EUR";"14.545";"14.70";"14.505";"14.615";"22/12/2017 18:31";"CET";"1513999";"22102573.62"
"TEAM KALORIK";"BE0003852697";"TEAM";"Euronext Access Brussels";"EUR";"0.10";"0.10";"0.10";"0.10";"19/10/2016 15:00";"CET";"260";"26.00"
"TELECOM ITALIA SPA";"IT0003497168";"TIT";"Traded not listed Brussels";"EUR";"0.73";"0.73";"0.73";"0.73";"20/12/2017 16:12";"CET";"75000";"54750.00"
"TELEFONICA";"ES0178430E18";"TFA";"Traded not listed Brussels";"EUR";"8.26";"8.26";"8.19";"8.19";"22/12/2017 16:06";"CET";"2540";"20872.62"
"TELENET GROUP";"BE0003826436";"TNET";"Euronext Brussels";"EUR";"57.27";"58.06";"57.27";"57.96";"22/12/2017 17:35";"CET";"97662";"5651235.05"
"TER BEKE";"BE0003573814";"TERB";"Euronext Brussels";"EUR";"176.50";"177.00";"173.05";"176.55";"22/12/2017 17:35";"CET";"1967";"346085.15"
"TESSENDERLO";"BE0003555639";"TESB";"Euronext Brussels";"EUR";"38.45";"38.96";"38.355";"38.405";"22/12/2017 17:35";"CET";"56472";"2180489.03"
"TEXAF";"BE0974263924";"TEXF";"Euronext Brussels";"EUR";"30.545";"30.545";"30.02";"30.20";"22/12/2017 15:44";"CET";"152";"4571.81"
"THROMBOGENICS";"BE0003846632";"THR";"Euronext Brussels";"EUR";"3.478";"3.49";"3.441";"3.441";"22/12/2017 17:35";"CET";"45384";"156877.25"
"TIGENIX";"BE0003864817";"TIG";"Euronext Brussels";"EUR";"1.015";"1.024";"1.00";"1.008";"22/12/2017 17:35";"CET";"1046734";"1058011.71"
"TINC";"BE0974282148";"TINC";"Euronext Brussels";"EUR";"12.17";"12.38";"12.17";"12.295";"22/12/2017 17:16";"CET";"33108";"407639.47"
"TISCALI";"IT0004513666";"TISN";"Traded not listed Brussels";"EUR";"0.03";"0.04";"0.03";"0.04";"22/12/2017 17:28";"CET";"508";"20.24"
"TOTAL";"FR0000120271";"FP";"Euronext Paris, Brussels";"EUR";"46.58";"46.75";"46.42";"46.47";"22/12/2017 17:35";"CET";"3330287";"155021788.63"
"TUBIZE-FIN";"BE0003823409";"TUB";"Euronext Brussels";"EUR";"63.76";"64.30";"63.50";"64.30";"22/12/2017 17:35";"CET";"10241";"655437.87"
"U&I LEARNING";"BE0003847648";"UNI";"Euronext Access Brussels";"EUR";"0.31";"0.31";"0.31";"0.31";"14/12/2017 16:30";"CET";"4";"1.24"
"UCB";"BE0003739530";"UCB";"Euronext Brussels";"EUR";"65.04";"66.64";"64.84";"65.98";"22/12/2017 17:35";"CET";"323075";"21288436.59"
"UMICORE";"BE0974320526";"UMI";"Euronext Brussels";"EUR";"38.895";"39.025";"38.49";"38.725";"22/12/2017 17:35";"CET";"387247";"14989221.18"
"UNION PAC CORP";"US9078181081";"UNPA";"Traded not listed Brussels";"USD";"104.55";"104.55";"104.55";"104.55";"22/12/2016 16:30";"CET";"78";"7808.22"
"VAN DE VELDE";"BE0003839561";"VAN";"Euronext Brussels";"EUR";"44.20";"44.30";"43.81";"43.81";"22/12/2017 17:35";"CET";"5044";"222324.93"
"VASTNED RETAIL BEL";"BE0003754687";"VASTB";"Euronext Brussels";"EUR";"44.99";"45.00";"43.80";"45.00";"22/12/2017 17:10";"CET";"3379";"149869.34"
"VERIZON COMM.";"US92343V1044";"VERIZ";"Traded not listed Brussels";"USD";"34.91";"34.91";"34.91";"34.91";"05/03/2012 16:30";"CET";"328";"11450.48"
"VGP";"BE0003878957";"VGP";"Euronext Brussels";"EUR";"62.66";"63.20";"62.34";"63.20";"22/12/2017 17:35";"CET";"5223";"328206.14"
"VIOHALCO";"BE0974271034";"VIO";"Euronext Brussels";"EUR";"3.208";"3.251";"3.207";"3.22";"22/12/2017 17:19";"CET";"31829";"103351.06"
"VOLKSWAGEN";"DE0007664005";"VWA";"Traded not listed Brussels";"EUR";"170.43";"170.43";"169.54";"170.24";"22/12/2017 17:26";"CET";"282";"47925.76"
"VOLKSWAGEN PREF";"DE0007664039";"VWAP";"Traded not listed Brussels";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"VRANKEN-POMMERY";"FR0000062796";"VRAP";"Euronext Paris, Brussels";"EUR";"23.64";"23.83";"23.61";"23.83";"22/12/2017 17:29";"CET";"1562";"37010.38"
"WAREHOUSES";"BE0003734481";"WEB";"Euronext Brussels";"EUR";"60.35";"60.35";"60.35";"60.35";"22/12/2017 16:30";"CET";"210";"12673.50"
"WDP";"BE0003763779";"WDP";"Euronext Brussels, Amsterdam";"EUR";"92.73";"92.97";"92.57";"92.91";"22/12/2017 17:35";"CET";"20826";"1932897.25"
"WERELDHAVE BELGIUM";"BE0003724383";"WEHB";"Euronext Brussels";"EUR";"95.98";"95.98";"94.50";"95.00";"22/12/2017 17:35";"CET";"1060";"100592.62"
"WOL. EXTENS. CERT";"BE0003600112";"WOLE";"Euronext Brussels";"EUR";"700.00";"700.00";"700.00";"700.00";"21/12/2017 11:30";"CET";"75";"52500.00"
"WOL. SHOPPING CERT";"BE0003571792";"WOLS";"Euronext Brussels";"EUR";"1815.01";"1815.01";"1815.01";"1815.01";"22/12/2017 16:30";"CET";"3";"5445.03"
"XIOR";"BE0974288202";"XIOR";"Euronext Brussels";"EUR";"38.05";"38.195";"37.20";"37.99";"22/12/2017 17:35";"CET";"9128";"345401.70"
"ZENITEL";"BE0974311434";"ZENT";"Euronext Brussels";"EUR";"13.49";"13.49";"13.49";"13.49";"22/12/2017 11:30";"CET";"40";"539.60"
"ZENOBE GRAMME CERT";"BE0003809267";"ZEN";"Euronext Brussels";"EUR";"168.30";"168.30";"168.30";"168.30";"20/12/2017 16:30";"CET";"14";"2356.20"
